ProductID,ProductCategoryID
1,2
2,2
2,3
3,2
4,2
5,2
5,3
5,6
6,2
6,3
6,6
7,2
7,3
7,6
8,2
9,2
9,3
9,6
10,2
10,3
11,2
11,3
12,2
12,3
13,2
13,3
13,6
14,2
15,2
16,2
16,3
16,6
17,2
17,3
17,6
18,2
19,2
19,3
20,2
20,3
21,2
21,3
21,6
22,2
22,3
22,6
23,2
24,2
24,3
24,6
25,2
25,3
26,2
26,3
26,6
27,2
28,2
28,3
29,2
29,3
30,2
30,3
31,2
32,2
33,2
34,2
34,3
34,6
35,2
35,3
35,6
36,2
36,3
37,2
38,2
38,3
39,2
39,3
40,2
40,3
41,2
42,2
42,3
43,2
43,3
43,6
44,2
45,2
46,2
47,2
47,3
47,6
48,2
48,3
48,6
49,2
49,3
49,6
50,2
51,2
52,2
52,3
52,6
53,2
53,3
53,6
54,2
55,2
55,3
55,6
56,2
56,3
56,6
57,2
58,2
58,3
58,6
59,2
59,3
60,2
61,2
62,2
62,3
63,2
63,3
64,2
64,3
64,6
65,2
65,3
66,2
66,3
66,6
67,2
67,3
68,2
68,3
68,6
69,2
69,3
69,6
70,2
71,2
72,2
72,3
73,2
74,2
74,3
74,6
75,2
76,2
76,3
77,2
77,3
78,2
78,3
79,2
79,3
80,2
80,3
81,2
82,2
83,2
84,2
84,3
85,2
86,2
87,2
87,3
88,2
88,3
88,6
89,2
89,3
89,6
90,2
90,3
91,2
91,3
91,6
92,2
92,3
92,6
93,2
93,3
94,2
95,2
95,3
96,2
96,3
97,2
98,2
99,2
99,3
100,2
100,3
100,6
101,2
101,3
102,2
102,3
102,6
103,2
103,3
104,2
104,3
105,2
105,3
106,2
107,2
107,3
108,2
108,3
109,2
110,2
111,2
111,3
111,6
112,2
112,3
112,6
113,2
113,3
114,2
115,2
116,2
116,3
116,6
117,2
118,2
119,2
120,2
121,2
122,2
123,2
123,3
123,6
124,2
124,3
125,2
126,2
127,2
128,2
128,3
128,6
129,2
129,3
129,6
130,2
130,3
130,6
131,2
132,2
133,2
133,3
133,6
134,2
134,3
135,2
135,3
135,6
136,2
137,2
137,3
137,6
138,2
